step,vehicleID,TimeLoss,AccumulatedWaitingTime
30,0,17.75425575788494,12.0
30,10,13.153119578802755,5.0
30,11,14.011004656835643,7.0
30,15,10.401283867458003,4.0
30,16,8.379677554660098,4.0
30,17,11.587988651156536,5.0
30,19,9.454464819556762,4.0
30,20,9.160173524127032,3.0
30,23,5.857154237166592,0.0
30,24,9.59413114925021,2.0
30,26,7.352149016815002,2.0
30,27,7.641061121600966,0.0
30,32,7.312997742322922,1.0
30,33,5.893238179707312,1.0
30,37,4.81850254427635,0.0
30,38,3.0816485029964973,0.0
30,4,15.209456095418355,8.0
30,44,3.1465257970350415,0.0
30,46,3.3167127611011136,0.0
30,47,3.4447776668365324,0.0
30,50,3.1105093751412216,0.0
30,52,2.925884459672231,0.0
30,58,3.2438146667995276,0.0
30,59,2.6354619219762054,0.0
30,60,3.2226373327494433,0.0
30,61,2.5894444508377656,0.0
30,63,2.544307970666304,0.0
30,64,2.584689890983841,0.0
30,66,2.68087565945555,0.0
30,68,2.71970558282622,0.0
30,72,2.622237710065713,0.0
30,84,0.0,0.0
60,0,33.80001245971131,21.0
60,10,43.15311957880276,35.0
60,100,14.758180959988898,9.0
60,102,12.478752633104898,6.0
60,103,11.3294855199209,5.0
60,105,10.21704672402834,3.0
60,107,12.284539612988095,5.0
60,109,9.224186747183866,3.0
60,11,44.011004656835645,37.0
60,113,5.5934272751295495,0.0
60,119,3.4641142710817503,0.0
60,120,7.519916041524366,0.0
60,121,5.025240670975708,0.0
60,123,4.600611689951388,0.0
60,125,5.070286173792055,0.0
60,126,4.037817789117167,0.0
60,127,3.101609432339221,0.0
60,129,3.036732088232277,0.0
60,131,2.976772436443998,0.0
60,132,2.585606546908535,0.0
60,134,3.5652318387227413,0.0
60,135,3.2978950293572167,0.0
60,139,2.9850429074860423,0.0
60,140,3.199357407672401,0.0
60,145,2.8300894640100913,0.0
60,148,3.029556824236557,0.0
60,15,40.40125255355412,34.0
60,150,3.417831348483343,0.0
60,151,2.63642117391909,0.0
60,156,3.0155977806053174,0.0
60,16,38.3796775546601,34.0
60,160,2.3112558617249617,0.0
60,162,2.1724599083710134,0.0
60,163,1.5776892212101852,0.0
60,165,1.6206896891449492,0.0
60,17,41.587981577786074,35.0
60,19,39.45443910372371,34.0
60,20,39.16004979217263,33.0
60,23,35.851805349102044,30.0
60,24,26.149655748910813,10.0
60,26,37.352149016815005,32.0
60,27,22.403971010171684,8.0
60,32,24.4892546971708,11.0
60,37,18.147965743916075,4.0
60,4,45.20945609541835,38.0
60,44,30.211507393994083,24.0
60,46,29.71175239707248,23.0
60,47,31.79253224104614,27.0
60,50,27.250282826039147,22.0
60,52,28.150575498013115,22.0
60,58,24.686680845282204,19.0
60,59,9.359008397156474,0.0
60,60,23.933440674041844,18.0
60,61,22.362109444272427,15.0
60,63,23.436484250755797,18.0
60,64,9.744558786479383,1.0
60,66,10.674367205246405,3.0
60,68,22.221704485679567,17.0
60,92,14.623902854450481,9.0
90,0,50.21619336491109,31.0
90,10,59.43695195136477,45.0
90,103,41.3294855199209,35.0
90,105,40.216954459386876,33.0
90,109,39.2241786213382,33.0
90,11,74.01100465683564,67.0
90,113,35.586845276035874,30.0
90,119,20.258350944824258,13.0
90,120,37.503311110706846,29.0
90,121,35.012663724630386,29.0
90,123,34.4978267816755,28.0
90,125,35.06210484174358,29.0
90,126,33.60999329658085,27.0
90,129,31.044820596987424,25.0
90,131,30.64111996100081,25.0
90,132,28.961671459294873,25.0
90,134,31.89512623815178,26.0
90,135,29.2339806994827,22.0
90,139,29.647149900614124,24.0
90,140,28.060915842111697,22.0
90,145,28.13618159379724,22.0
90,148,9.231304582604341,4.0
90,15,56.950008010111596,45.0
90,150,26.968195843247024,20.0
90,151,24.33049814991182,18.0
90,16,68.3796775546601,64.0
90,160,21.913286475529958,16.0
90,162,23.815391637008602,17.0
90,163,21.347937977692034,15.0
90,165,19.39568772036499,14.0
90,17,71.58798157778608,65.0
90,174,15.731598805562244,10.0
90,182,11.287896261294252,7.0
90,183,13.663065234287968,8.0
